0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  0.000003 0.003461 0.004611 -0.000024 0.074818 -0.000001     -0.002594 0.000009 0.000007 0.002217 0.005373 -0.000002      0.004128 0.012233 -0.000007 -0.000000 -0.002398 -0.037518    0.000001 -0.000009 -0.015020 -0.000070 0.025617 -0.000024   -0.110151 -0.000001 0.093370 -0.003448 0.000004 0.000000    0.085653 -0.000003 -0.053861 -0.000090 -0.095121 0.002264    -0.002141 0.000002 -0.002128 -0.000005 0.008390 0.000002     -0.099051 -0.022001 0.000001 0.000004 -0.018670 0.028319    0.000003 0.000251 -0.000004 0.000312 0.000001 0.000002       0.231977 0.108406 0.000006 0.074428 0.000001 0.000003        0.004908 -0.000002 -0.075979 -0.000004 0.007722 -0.000000    -0.001805 0.000019 -0.006064 0.000003 0.000047 -0.000000     -0.002784 -0.000005 -0.045475 -0.003580 0.000031 -0.029913  0.000001 0.104486 0.000003 0.000002 -0.011410 -0.000001      0.004730 0.091347 0.000001 -0.011856 0.138505 0.000002       -0.007828 0.000003 -0.170526 -0.000009 0.000091 0.034003     -0.016837 -0.007801 0.000004 -0.000147 -0.000816 0.000008   -0.048680 -0.000147 0.000246 -0.039665 0.000005 -0.000020    -0.068610 -0.000000 0.100664 0.000001 0.181612 0.000012      0.048895 -0.069395 -0.000000 0.000000 -0.000449 -0.000001    0.000927 -0.000002 0.000001 0.000016 0.000001 -0.000029     0.000006 -0.000001 0.000100 0.000001 0.000000 -0.000299      0.000000 -0.000211 -0.000000 0.000070 -0.000000 -0.000063   -0.000000 0.000243 0.000000   
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.007297 -0.000020 -0.000007 -0.006920 0.000009 0.014142   -0.000000 -0.070208 -0.001652 0.000013 -0.000001 0.000443    0.000009 -0.000003 -0.001075 0.048598 -0.000002 0.000001     -0.002922 -0.001984 0.000002 0.057718 0.000124 0.000203     0.000003 0.005314 0.000000 -0.000004 -0.014866 -0.014706    0.000001 0.046488 -0.000003 0.169055 -0.000136 0.000015      -0.000000 -0.173453 0.000007 -0.000075 -0.000002 -0.010177   -0.000002 0.000002 0.000610 -0.050089 -0.000004 -0.000001   0.002903 -0.000004 0.001829 0.000002 0.146985 0.011692       0.000000 -0.000012 0.336086 0.000001 0.042660 0.003895       0.000002 -0.003101 0.000003 -0.018800 0.000001 0.032968      0.000004 0.000252 -0.000001 0.000008 -0.000001 0.003972      0.000027 -0.027175 0.000000 -0.000001 -0.008147 -0.000009   0.004362 0.000001 -0.072300 0.026056 -0.000001 -0.026446     -0.000001 0.000000 -0.003866 -0.000001 -0.000000 -0.183033   -0.000008 0.205121 0.000010 -0.159887 0.015163 -0.000041     -0.000001 -0.000001 -0.033858 -0.002124 0.000385 -0.016942  -0.000005 0.000765 0.000440 0.000001 -0.036561 -0.003983     -0.000002 -0.095485 -0.000003 0.032388 0.000009 -0.145976    0.000001 -0.000000 0.054286 0.038749 -0.000000 0.000099      -0.000000 -0.000196 0.000002 -0.000000 0.000002 0.000000    -0.000002 -0.000017 -0.000000 0.000019 -0.000068 -0.000000   0.000118 0.000000 -0.000137 -0.000002 -0.000686 -0.000001   0.000263 0.000000 -0.000018   
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  0.000157 -0.091548 0.064639 -0.000011 -0.016072 -0.000041   0.041388 0.000001 0.000027 0.036894 0.115963 -0.000016       0.003349 0.005973 -0.000004 0.000005 -0.023729 -0.043685     0.000001 0.000004 0.048354 0.000249 -0.086789 -0.000017     0.011746 -0.000000 -0.033315 -0.068216 0.000004 -0.000001   -0.045171 -0.000004 -0.024115 -0.000023 -0.022728 0.000191   -0.151673 0.000010 0.345403 0.000107 -0.197450 0.000011      -0.027202 0.003867 -0.000000 -0.000031 0.169847 0.132156    -0.000003 -0.104891 0.000002 0.015296 -0.000003 0.000000     0.010082 0.008215 -0.000001 -0.014285 -0.000000 0.000001     0.013156 0.000012 0.002366 -0.000000 -0.001720 0.000001      0.000267 -0.000003 -0.028077 0.000000 -0.000041 -0.000001    0.000342 -0.000000 -0.001805 0.007547 0.000001 -0.000476    -0.000000 -0.001112 0.000001 0.000000 -0.003679 -0.000000    -0.037394 0.003891 0.000000 0.014252 0.005282 0.000001       0.000048 -0.000001 -0.000093 0.000001 -0.000005 -0.001789    -0.021570 -0.002908 0.000000 0.000010 0.000055 0.000000     -0.002050 -0.000150 0.000256 -0.001667 0.000001 -0.000001    -0.002013 0.000000 0.002757 -0.000000 0.001767 0.000001      0.020396 -0.001692 -0.000000 -0.000000 0.000005 0.000000     -0.000008 0.000000 0.000001 0.000028 0.000001 -0.000031     0.000000 -0.000000 -0.000000 0.000000 0.000000 -0.000326     0.000000 -0.000216 -0.000000 -0.000001 0.000000 0.000002    0.000000 -0.000003 0.000000   
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000763 0.002442 0.004839 -0.001078 0.066457 0.002002     -0.001613 -0.004613 0.000209 0.001750 0.004067 0.000313      -0.005084 -0.017486 -0.001135 -0.004090 -0.001722 -0.005530  0.000551 -0.040872 -0.003970 0.050162 0.010358 0.000527     -0.120838 -0.001320 0.028782 -0.003427 0.031433 0.045144    0.031045 -0.030575 -0.078894 -0.123504 -0.047305 0.032990    0.001455 0.014253 0.004347 -0.003223 0.000939 -0.080568      -0.071067 -0.021932 0.007019 -0.041337 0.000982 -0.001149   0.001454 0.003396 0.000164 0.000450 -0.026327 -0.002560      0.113023 0.076616 -0.092720 0.056466 0.012096 -0.000549      0.001604 -0.000393 -0.024011 0.003196 0.004610 -0.013909     0.003050 -0.002628 -0.012864 0.000017 -0.000076 0.000946     -0.000009 -0.006863 -0.048365 0.008246 0.010910 0.023614    0.000625 -0.101672 0.116514 0.012906 -0.033885 0.040327      -0.005768 -0.029550 0.142418 0.009822 -0.047300 -0.163197    -0.030441 0.014841 0.086628 -0.075744 -0.000643 -0.019188    -0.003303 0.000875 -0.037313 -0.001839 0.000881 0.001010    0.019856 0.000761 0.000381 0.018961 -0.007978 0.045401       0.044398 -0.040583 -0.113030 -0.110734 -0.174410 -0.039669   -0.037417 -0.020534 0.002577 0.130920 0.000318 0.000021      -0.000792 -0.000253 0.000000 -0.000010 0.000007 0.000026    -0.000003 0.000015 -0.000068 -0.000004 -0.000043 0.000028    0.000033 0.000016 -0.000011 -0.001140 0.001424 0.000786     -0.000975 -0.000080 0.000050   
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.004331 -0.001196 -0.000004 -0.004661 -0.013700 0.010886  0.001438 -0.063017 -0.001948 -0.000502 -0.000570 0.000073    -0.015728 -0.050991 0.000543 -0.007266 0.003715 0.008572     -0.002538 -0.032211 0.008354 0.131328 -0.007049 0.007654    -0.047706 -0.003256 -0.113981 0.003246 -0.000536 0.004091   -0.017909 0.040031 -0.070548 0.045133 0.135974 0.030284      -0.004027 -0.033110 -0.005891 0.000138 0.003298 -0.004136    -0.014785 0.000729 -0.002102 -0.115904 -0.002101 -0.002925  0.002246 0.001024 0.001629 -0.000912 0.110880 0.011778       -0.081085 -0.003574 0.065461 -0.018946 0.021206 0.001815     -0.002782 -0.000624 0.033051 -0.003937 -0.002774 0.020453    0.004194 -0.002571 0.005734 0.000191 0.000047 -0.011239      -0.002937 0.085642 -0.113976 0.001720 -0.049305 -0.022707   0.005011 -0.035218 -0.048850 0.040066 -0.064320 0.014586     0.027623 0.094494 0.064825 -0.011979 0.189130 -0.046552      -0.025026 -0.084111 0.017063 0.088727 -0.010689 -0.001507    -0.004793 0.032834 0.020252 0.001403 -0.000156 0.005359     -0.023650 -0.000992 0.000914 0.034746 -0.013721 0.002949     -0.017515 0.031951 -0.090067 -0.102961 0.045068 0.190377     -0.002637 0.010028 -0.014055 -0.077301 -0.000323 -0.000164   0.000434 0.000139 -0.000006 0.000010 0.000000 -0.000011     -0.000013 0.000004 0.000038 -0.000013 0.000145 0.000019      -0.000195 0.000014 0.000150 -0.000552 0.000584 0.000521     -0.000549 -0.000138 -0.000261   
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  0.029465 -0.098850 0.065017 -0.019523 -0.004621 0.082172    0.023947 0.013519 0.007422 0.021020 0.062177 -0.000673       0.008165 0.006213 -0.063385 -0.006414 0.066299 -0.012570     -0.132369 -0.005658 0.146562 0.012500 -0.167241 -0.196177   -0.019340 0.010424 0.016585 -0.091795 -0.102042 0.072022    0.018105 -0.003295 -0.000963 -0.001963 0.000169 -0.004401    0.012707 0.000707 0.050288 -0.079971 -0.009505 0.016046      -0.018128 0.007754 0.178416 -0.016985 -0.148829 -0.066235   0.060629 0.096066 -0.001261 -0.021932 -0.004680 0.004705     -0.008818 -0.003092 -0.001563 0.001854 0.001163 -0.004786    -0.013485 0.012934 0.000784 0.000151 -0.000269 -0.000478     -0.000129 0.000009 0.005651 -0.000058 0.000112 0.000977      0.000572 -0.002434 0.003298 -0.001980 0.000735 -0.000095    -0.000560 0.002926 0.000051 -0.002395 0.002840 -0.001084     0.007603 -0.002097 -0.003946 -0.001572 -0.002589 0.004808    0.000825 -0.000531 -0.000547 0.002162 -0.000003 0.000474     0.003119 -0.000005 0.000860 -0.000005 -0.000011 -0.000067   0.000265 -0.000515 0.000035 -0.000454 0.001216 -0.000950     -0.000311 0.001525 0.002656 0.002769 0.002485 0.000447       -0.002633 0.000814 -0.002223 -0.002716 -0.000004 0.000000    0.000015 -0.000000 -0.000004 0.000013 -0.000007 0.000005    -0.000000 0.000000 0.000000 0.000003 -0.000035 0.000076      0.000042 0.000029 -0.000028 0.000052 -0.000063 -0.000033    0.000038 0.000004 0.000002   
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  0.000771 0.002447 0.004839 0.001033 0.066455 -0.002006      -0.001613 0.004629 -0.000200 0.001749 0.004067 -0.000317     -0.005084 -0.017481 0.001191 0.004094 -0.001729 -0.005538    -0.000554 0.040873 -0.003979 -0.050209 0.010159 -0.000598   -0.120840 0.001323 0.028784 -0.003434 -0.031431 -0.045140   0.031047 0.030567 -0.078898 0.123412 -0.047504 0.033009      0.001456 -0.014249 0.004345 0.003225 0.000939 0.080570       -0.071059 -0.021936 -0.007016 0.041337 0.000984 -0.001150   -0.001451 0.003394 -0.000169 0.000452 0.026328 0.002561      0.113024 0.076609 0.092728 0.056466 -0.012097 0.000553       0.001602 0.000392 -0.024012 -0.003200 0.004611 0.013909      0.003101 0.002568 -0.012865 -0.000022 -0.000076 -0.000934    -0.000022 0.006865 -0.048365 0.008245 -0.010959 0.023588    -0.000627 -0.101668 -0.116517 -0.012911 -0.033883 -0.040327  -0.005775 -0.029541 -0.142419 0.009822 -0.047300 0.163195    -0.030442 -0.014846 0.086620 0.075753 0.000541 -0.019193     -0.003303 0.000877 0.037309 0.002032 0.000177 -0.001017     0.019861 -0.000710 -0.000460 0.018961 0.007973 -0.045376     0.044437 0.040585 -0.113025 0.110731 -0.174417 0.039646      -0.037418 -0.020535 -0.002576 -0.130921 0.000318 -0.000020   -0.000791 0.000257 -0.000001 -0.000010 -0.000008 0.000025   -0.000006 -0.000014 -0.000068 0.000003 0.000043 0.000029     -0.000033 0.000016 0.000011 -0.001150 -0.001416 0.000775    0.000983 -0.000079 -0.000050   
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.004334 0.001170 -0.000003 -0.004665 0.013715 0.010887    -0.001440 -0.063012 -0.001942 0.000526 0.000567 0.000075     0.015738 0.050991 0.000424 -0.007277 -0.003715 -0.008566     -0.002530 -0.032228 -0.008342 0.131278 0.007596 0.007694    0.047708 -0.003263 0.113979 -0.003252 -0.000523 0.004080    0.017909 0.040038 0.070546 0.044874 -0.136046 -0.030276      0.004026 -0.033110 0.005896 0.000134 -0.003299 -0.004139     0.014782 -0.000727 -0.002108 -0.115904 0.002083 0.002921    0.002247 -0.001028 0.001625 0.000912 0.110881 0.011779       0.081084 0.003571 0.065460 0.018946 0.021209 0.001818        0.002784 -0.000625 -0.033050 -0.003941 0.002775 0.020453     -0.004244 -0.002491 -0.005735 0.000190 -0.000040 -0.011256   0.002785 0.085647 0.113974 -0.001721 -0.049354 0.022603     0.005011 0.035217 -0.048849 0.040069 0.064318 0.014584       -0.027622 -0.094499 0.064821 0.011980 -0.189129 -0.046554    0.025033 -0.084110 -0.017073 0.088727 -0.010682 0.001566     0.004792 -0.032833 0.020249 0.001364 -0.000343 0.005346     0.023653 0.000325 -0.001299 -0.034747 -0.013723 0.002960     0.017511 0.031947 0.090070 -0.102963 -0.045090 0.190370      0.002635 -0.010027 -0.014055 -0.077300 0.000323 -0.000163    -0.000434 0.000141 -0.000006 -0.000010 -0.000000 0.000011   0.000013 0.000001 -0.000038 -0.000013 0.000145 -0.000019     -0.000195 -0.000014 0.000150 0.000556 0.000580 -0.000515    -0.000554 0.000138 -0.000260   
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.029116 -0.098973 0.065029 0.019496 -0.004596 -0.082225   0.023836 -0.013517 -0.007393 0.021044 0.062169 0.000659      0.008163 0.006429 0.063363 0.006417 0.066335 -0.012555       0.132346 0.005762 0.146548 -0.011519 -0.167395 0.196089     -0.019460 -0.010423 0.016573 -0.091775 0.102056 -0.072031   0.018090 0.003284 -0.000970 0.001962 0.000172 -0.004406      0.012707 -0.000705 0.050208 0.080001 -0.009503 -0.016052     -0.018151 0.007757 -0.178414 0.017041 -0.148828 -0.066239   -0.060623 0.096067 0.001257 -0.021932 0.004685 -0.004705     -0.008816 -0.003094 0.001562 0.001854 -0.001164 0.004782     -0.013463 -0.012958 0.000788 -0.000150 -0.000269 0.000477    -0.000130 -0.000006 0.005651 0.000058 0.000112 -0.000981     0.000563 0.002434 0.003298 -0.001980 -0.000735 -0.000096    0.000560 0.002925 -0.000050 0.002394 0.002839 0.001085       0.007604 -0.002097 0.003946 -0.001572 -0.002587 -0.004807    0.000825 0.000532 -0.000547 -0.002163 0.000005 0.000474      0.003119 -0.000004 -0.000860 0.000001 -0.000012 0.000067    0.000265 0.000223 0.000466 -0.000454 -0.001216 0.000950      -0.000312 -0.001525 0.002656 -0.002768 0.002485 -0.000448    -0.002633 0.000815 0.002223 0.002717 -0.000004 -0.000000     0.000015 0.000000 0.000005 0.000013 0.000007 0.000005       -0.000000 -0.000000 0.000000 -0.000003 0.000035 0.000076     -0.000042 0.000029 0.000028 0.000052 0.000063 -0.000033     -0.000038 0.000004 -0.000002   
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000442 0.000529 0.002521 -0.000474 0.043548 0.001003     -0.002250 -0.009968 -0.000249 0.000762 0.001719 0.000155     -0.009952 -0.033658 0.000680 -0.002068 -0.001398 0.012580    -0.002375 0.044476 0.003162 -0.016289 -0.002061 -0.000369   -0.044840 0.001566 -0.001994 -0.009352 -0.020266 -0.031377  -0.053979 0.020867 0.083431 0.051876 -0.008617 0.235748      0.006005 -0.091434 0.000939 -0.002728 -0.003549 0.121894     0.050472 0.012426 -0.008185 -0.085998 -0.000005 0.000335    -0.002770 -0.000277 -0.002360 0.000473 -0.080209 -0.007373   0.013420 -0.046618 -0.004558 -0.008344 -0.055565 -0.003452   0.000449 0.002044 -0.006190 0.001455 0.000255 -0.005294      0.004011 0.000160 -0.001533 -0.000336 0.000033 0.011519      0.000410 -0.083729 -0.019619 0.005383 -0.033001 0.039866    -0.000672 -0.104059 -0.076634 -0.098135 0.030422 -0.075426   0.001339 -0.127956 0.047102 -0.005819 -0.001834 -0.007797    0.010910 0.025272 0.007782 0.028480 -0.018876 0.013918       0.022779 -0.040614 -0.000145 0.000342 -0.000532 0.062641    -0.045111 -0.001218 -0.000524 -0.009587 -0.050606 0.048174   -0.078351 0.107781 -0.035744 -0.067193 0.124498 0.005076     0.030125 0.128709 -0.002703 0.171840 -0.000114 0.000170      0.000192 -0.000297 0.000001 -0.000001 0.000005 0.000001     0.000101 0.000059 0.000143 0.000034 0.000036 -0.000040       -0.000038 -0.000026 0.000004 0.000024 0.000135 -0.000224    -0.000257 0.002248 -0.002593   
